day,date,service_type,line,min_delay
Tuesday,2023-01-10T10:05:00Z,Regular,509,9
Tuesday,2023-01-10T10:06:00Z,Regular,505,11
Tuesday,2023-01-10T10:55:00Z,Regular,501,8
Tuesday,2023-01-10T11:07:00Z,Regular,505,9
Tuesday,2023-01-10T11:17:00Z,Regular,505,9
Tuesday,2023-01-10T12:01:00Z,Regular,509,9
Tuesday,2023-01-10T12:08:00Z,Regular,505,9
Tuesday,2023-01-10T12:38:00Z,Regular,505,4
Tuesday,2023-01-10T13:09:00Z,Regular,509,17
Tuesday,2023-01-10T13:13:00Z,Regular,501,6
Tuesday,2023-01-10T14:16:00Z,Regular,510,5
Tuesday,2023-01-10T14:40:00Z,Regular,505,10
Tuesday,2023-01-10T15:46:00Z,Regular,504,7
Tuesday,2023-01-10T16:57:00Z,Regular,504,98
Tuesday,2023-01-10T18:23:00Z,Regular,506,9
Tuesday,2023-01-10T18:24:00Z,Regular,504,19
Tuesday,2023-01-10T22:08:00Z,Regular,504,5
Tuesday,2023-01-10T22:46:00Z,Regular,504,16
Tuesday,2023-01-10T23:38:00Z,Regular,501,8
Tuesday,2023-01-10T23:42:00Z,Regular,505,8
Tuesday,2023-01-11T00:10:00Z,Regular,505,20
Tuesday,2023-01-11T01:36:00Z,Regular,511,31
Tuesday,2023-01-11T02:18:00Z,Regular,504,10
Tuesday,2023-01-11T02:28:00Z,Regular,501,8
Tuesday,2023-01-11T04:03:00Z,Regular,510,17
Tuesday,2023-01-10T06:32:00Z,Regular,512,10
Wednesday,2023-01-11T13:33:00Z,Regular,509,15
Wednesday,2023-01-11T13:35:00Z,Regular,510,15
Wednesday,2023-01-11T13:44:00Z,Regular,501,6
Wednesday,2023-01-11T18:47:00Z,Regular,511,9
Wednesday,2023-01-11T18:54:00Z,Regular,504,7
Wednesday,2023-01-11T19:20:00Z,Regular,504,7
Wednesday,2023-01-11T19:39:00Z,Regular,506,9
Wednesday,2023-01-11T20:14:00Z,Regular,504,5
Wednesday,2023-01-11T20:31:00Z,Regular,504,60
Wednesday,2023-01-11T21:13:00Z,Regular,504,8
Wednesday,2023-01-11T21:34:00Z,Regular,504,8
Wednesday,2023-01-11T22:58:00Z,Regular,501,25
Wednesday,2023-01-12T00:51:00Z,Regular,501,8
Wednesday,2023-01-12T00:55:00Z,Regular,510,12
Wednesday,2023-01-12T01:21:00Z,Regular,504,31
Wednesday,2023-01-12T02:05:00Z,Regular,504,7
Wednesday,2023-01-12T02:14:00Z,Regular,501,10
Wednesday,2023-01-12T02:26:00Z,Regular,501,11
Wednesday,2023-01-12T02:39:00Z,Regular,501,10
Wednesday,2023-01-12T03:46:00Z,Regular,504,5
Wednesday,2023-01-12T04:11:00Z,Regular,501,10
